openalex_id,title,year,source,type,primary_topic,subfield,field,domain,doi,cited_by_count,num_referenced_works
W2995817536,Focused Audification and the optimization of its parameters,2019,Journal on Multimodal User Interfaces,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1007/s12193-019-00317-8,2,21
W2966474027,Parameter-Mapping Sonification of Tick-Data,2019,Human-computer interaction series,book-chapter,Plant and Biological Electrophysiology Studies,Plant Science,Agricultural and Biological Sciences,Life Sciences,https://doi.org/10.1007/978-3-030-01497-1_8,3,3
W4220768673,Links between sonification and generative music,2022,Interdisciplinary Science Reviews,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1080/03080188.2022.2035106,3,11
W2800904595,Sonification in Scientific Visualization and Virtual Reality Applications,1992,Fraunhofer-Publica (Fraunhofer-Gesellschaft),book-chapter,Virtual Reality Applications and Impacts,Human-Computer Interaction,Computer Science,Physical Sciences,,5,0
W3036493540,Musical Smart City: Perspectives on Ubiquitous Sonification,2020,arXiv (Cornell University),preprint,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.48550/arxiv.2006.12305,5,38
W2787821446,Can Monaural Auditory Displays Convey Directional Information to Users,2016,eScholarship (California Digital Library),article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,3,15
W4310588935,Vigilance to Spatialized Auditory Displays: Initial Assessment of Performance and Workload,2022,Human Factors The Journal of the Human Factors and Ergonomics Society,article,Human-Automation Interaction and Safety,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1177/00187208221139744,3,70
W2025019232,Identification of Elementary Auditory Displays: Effect of Unbalanced Probabilities of Occurrence,1963,The Journal of the Acoustical Society of America,article,Hearing Loss and Rehabilitation,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1121/1.1918832,3,0
W2981763992,Sonification – an Alternative Presentation of the Electrocardiogram: A Systematic Literature Review,2019,,review,Phonocardiography and Auscultation Techniques,Pulmonary and Respiratory Medicine,Medicine,Health Sciences,https://doi.org/10.1109/et.2019.8878650,6,32
W4285138208,Applying Sonification to Sketching in the Air With Mobile AR Devices,2022,IEEE Transactions on Human-Machine Systems,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1109/thms.2022.3186592,6,35
W2188171783,Using sonification for teaching acoustics and audio,2006,,article,Hearing Loss and Rehabilitation,Cognitive Neuroscience,Neuroscience,Life Sciences,,3,11
W2781332463,Music of Brain and Music on Brain: A Novel EEG Sonification approach,2017,arXiv (Cornell University),preprint,Complex Systems and Time Series Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,https://doi.org/10.48550/arxiv.1712.08336,3,15
W4280500028,"Novel sonification designs: Compressed, iconic, and pitch-dynamic auditory icons boost driving behavior",2022,Applied Ergonomics,article,Safety Warnings and Signage,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1016/j.apergo.2022.103797,10,93
W3008963471,Using Conceptual Metaphors to Represent Temporal Context in Time Series Data Sonification,2019,Interacting with Computers,article,Multisensory perception and integration,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.1093/iwc/iwz036,6,52
W142943847,Listening-Mode-Centered Sonification Design for Data Exploration,2013,PUB – Publications at Bielefeld University (Bielefeld University),dissertation,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,,4,0
W2160762353,Dynamic Sonification as a Free Music Improvisation Tool for Physically Disabled Adults,2011,Music and Medicine,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1177/1943862111401032,7,0
W3044197643,"Sensing data: Encountering data sonifications, materializations, and interactives as <i>knowledge objects</i>",2020,Convergence The International Journal of Research into New Media Technologies,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1177/1354856520938601,9,21
W190073057,Sonification of the Human EEG,2013,The MIT Press eBooks,book-chapter,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.7551/mitpress/8555.003.0018,2,0
W3125610818,Designing the user experience of musical sonification in public and semi-public spaces,2021,SoundEffects - An Interdisciplinary Journal of Sound and Sound Experience,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.7146/se.v10i1.124202,7,47
W4289976181,A New Approach to Sonification of Astrophysical Data: The User Centred Design of SonoUno,2021,American Journal of Astronomy and Astrophysics,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.11648/j.ajaa.20210904.11,7,23
W2894066053,Interactive Mode Explorer Sonification Enhances Exploratory Cluster Analysis,2018,Journal of the Audio Engineering Society,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.17743/jaes.2018.0042,6,0
W1993577777,Auditory Display Applied to Research in Music and Acoustics,2015,Archives of Acoustics,article,Music and Audio Processing,Signal Processing,Computer Science,Physical Sciences,https://doi.org/10.2478/aoa-2014-0025,2,49
W2758796325,Auditory display for maximizing engagement and attentive capacity,2016,DSpace@MIT (Massachusetts Institute of Technology),dissertation,Human-Automation Interaction and Safety,Social Psychology,Psychology,Social Sciences,,2,0
W4402556688,Re(de)fining Sonification: Project Classification Strategies in the Data Sonification Archive,2024,Journal of the Audio Engineering Society,article,BIM and Construction Integration,Building and Construction,Engineering,Physical Sciences,https://doi.org/10.17743/jaes.2022.0167,3,0
W4319439333,On the sonification technique,2019,Journal of Engineering Sciences and Innovation,article,Underwater Acoustics Research,Oceanography,Earth and Planetary Sciences,Physical Sciences,https://doi.org/10.56958/jesi.2019.4.2.155,2,24
W940555473,Enhancing Medical Needle Placement with Auditory Display,2013,Oldenbourg Wissenschaftsverlag eBooks,book-chapter,Teleoperation and Haptic Systems,Mechanical Engineering,Engineering,Physical Sciences,https://doi.org/10.1524/9783486781229.289,2,5
W2950560034,Data sonification and sound visualization,2000,arXiv (Cornell University),preprint,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.48550/arxiv.cs/0007007,3,11
W2468143500,Enabling the effective application of spatial auditory displays in modern flight decks,2016,The University of Queensland,dissertation,Noise Effects and Management,Speech and Hearing,Health Professions,Health Sciences,https://doi.org/10.14264/uql.2016.171,2,69
W4213104722,A machine learning tutorial for spatial auditory display using head-related transfer functions,2022,The Journal of the Acoustical Society of America,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1121/10.0007486,4,66
W2946796433,Skin cancer detection by deep learning and sound analysis algorithms: A prospective clinical study of an elementary dermoscope,2019,EBioMedicine,article,Cutaneous Melanoma Detection and Management,Oncology,Medicine,Health Sciences,https://doi.org/10.1016/j.ebiom.2019.04.055,127,26
W2264164388,"Multimodal displays for anaesthesia sonification: timesharing, workload, and expertise",2002,,article,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,,5,8
W2148000616,Lung myeloperoxidase as a measure of pulmonary leukostasis in rabbits,1985,Journal of Applied Physiology,article,"Neutrophil, Myeloperoxidase and Oxidative Mechanisms",Immunology,Immunology and Microbiology,Life Sciences,https://doi.org/10.1152/jappl.1985.59.6.1978,366,0
W2793652066,Real-Time Sonification of Physiological Data in an Artistic Performance Context,2008,,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,,4,6
W2597606893,Sonophenology: A Tangible Interface for Sonification of Geo-Spatial Phenological Data at Multiple Time-scales,2010,,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,,4,15
W1562427516,Study of Sound Source Shape and Wideness in Virtual and Real Auditory Displays,2003,Journal of the Audio Engineering Society,article,Hearing Loss and Rehabilitation,Cognitive Neuroscience,Neuroscience,Life Sciences,,3,0
W2187885537,TWO TOOLS FOR INTEGRATING SONIFICATION INTO CALCULUS INSTRUCTION 1,2006,,article,Cognitive Science and Education Research,Cognitive Neuroscience,Neuroscience,Life Sciences,,5,6
W4387370567,Effect of sonification types in upper-limb movement: a quantitative and qualitative study in hemiparetic and healthy participants,2023,Journal of NeuroEngineering and Rehabilitation,article,Music Therapy and Health,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1186/s12984-023-01248-y,9,70
W2898019185,"A Tribe Called Red’s Halluci Nation: Sonifying Embodied Global Allegiances, Decolonization, And Indigenous Activism",2018,Intersections Canadian Journal of Music,article,Diverse Musicological Studies,Music,Arts and Humanities,Social Sciences,https://doi.org/10.7202/1051602ar,3,14
W2280690857,The auditory display in interactive courseware: Moving human factors into computer education,1998,NSUWorks (Nova Southeastern University),dissertation,Education and Technology Integration,Education,Social Sciences,Social Sciences,,3,0
W4211014397,Intelligible Sonifications,2019,Human-computer interaction series,book-chapter,Neuroscience and Music Perception,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1007/978-3-030-01497-1_4,2,55
W4243133805,Molecular biology’s symphony orchestra from DNA to ribosome: a sonification from gene to protein,2020,Biointerface Research in Applied Chemistry,article,Diverse Musicological Studies,Music,Arts and Humanities,Social Sciences,https://doi.org/10.33263/briac104.679688,8,90
W958707041,Image data sonification in medicine,2008,Journal of Medical Informatics & Technologies,article,Teleoperation and Haptic Systems,Mechanical Engineering,Engineering,Physical Sciences,,3,6
W3216256900,"Sonification, Perceptualizing Biological Information",2020,Frontiers research topics,book,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.3389/978-2-88963-868-0,3,0
W2335323384,A Sonification Tool For The Analysis of Large Databases of Expressive Gesture,2012,The International journal of Multimedia & Its Applications,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.5121/ijma.2012.4602,5,44
W1991510159,"Antigenic properties of bovine, porcine, and ovine erythrocyte stroma after solubilization by sodium dodecyl sulfate and sonification",1969,Immunochemistry,article,Protein Interaction Studies and Fluorescence Analysis,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,https://doi.org/10.1016/0019-2791(69)90201-8,10,9
W2801641699,Sonification of Animal Tracks as an Alternative Representation of Multi-Dimensional Data: A Northern Elephant Seal Example,2018,Frontiers in Marine Science,article,Marine animal studies overview,Ecology,Environmental Science,Physical Sciences,https://doi.org/10.3389/fmars.2018.00128,9,30
W2965269633,Data Sonification: A Prehistory,2019,Human-computer interaction series,book-chapter,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1007/978-3-030-01497-1_1,2,28
W1563214018,Human-Computer Interaction Design based on Interactive Sonification – Hearing Actions or Instruments/Agents,2004,,article,Hermeneutics and Narrative Identity,Philosophy,Arts and Humanities,Social Sciences,,8,16
W2898765082,Visualizing and Sonifying Mathematical Music Theory with Software Applications: Implications of Computer-Based Models for Practice and Education,2018,WORLD SCIENTIFIC eBooks,book-chapter,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1142/9789813228351_0009,5,0
W3139947764,Tiltification — An Accessible App to Popularize Sonification,2021,Preprints.org,preprint,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.20944/preprints202104.0234.v1,3,39
W3200989843,Application of sonification to GPR data for various pipe fillings,2021,NDT & E International,article,Geophysical Methods and Applications,Ocean Engineering,Engineering,Physical Sciences,https://doi.org/10.1016/j.ndteint.2021.102540,5,29
W360130987,A Mobile Application for Improving Running Performance Using Interactive Sonification,2014,,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,,5,0
W2277492334,The functional role and bio-kinetics of basic and expressive gestures in activation and sonification,2009,Ghent University Academic Bibliography (Ghent University),book-chapter,Hearing Impairment and Communication,Developmental and Educational Psychology,Psychology,Social Sciences,,6,0
W2035736211,The Effect of Sonification Pulse Rate on Perceived Urgency and Response Behaviors,2007,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,article,Safety Warnings and Signage,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1177/154193120705101915,4,16
W2772293201,Developing the Practice and Theory of Stream-based Sonifications,2009,University of Canberra Research Portal,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,,4,0
W1823687686,Prototype Spatial Auditory Display for Remote Planetary Exploration,2012,Journal of the Audio Engineering Society,article,Spacecraft Design and Technology,Aerospace Engineering,Engineering,Physical Sciences,,2,0
W1568203534,Spatial Auditory Display in Music Search and Browsing Applications,2012,Journal of the Audio Engineering Society,article,Music and Audio Processing,Signal Processing,Computer Science,Physical Sciences,,2,0
W2768026895,Pitch-Based Earcons: An Auditory Display for Patient Monitoring,2016,Queensland's institutional digital repository (The University of Queensland),dissertation,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,,2,0
W2784911068,Guest editors' note special issue on auditory displays,2012,,editorial,Interactive and Immersive Displays,Human-Computer Interaction,Computer Science,Physical Sciences,,2,0
W1573178728,"Evaluation of the ""Cocktail Party Effect"" for Multiple Speech Stimuli for Multiple Speech Stimuli within a Spatial Auditory Display",1994,Journal of the Audio Engineering Society,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,5,0
W3006247649,Multi-channel spatial auditory display for speech communications,1993,STIA,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,2,0
W33295287,The Effects of Workload Presented via Visual and Auditory Displays on Soldier Shooting and Secondary Task Performance,2007,Indian Journal of Medical Ethics,article,Human-Automation Interaction and Safety,Social Psychology,Psychology,Social Sciences,https://doi.org/10.20529/ijme.2020.071,4,14
W2018837876,Conduction Equivalency Ratios: A Means for Comparing the Frequency Response of Bone and Air Conduction Auditory Displays,2012,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,article,Gait Recognition and Analysis,Biomedical Engineering,Engineering,Physical Sciences,https://doi.org/10.1177/1071181312561389,4,8
W2579900634,“It will discourse most eloquent music”: Sonifying Variants of Hamlet,2016,Journal of the Text Encoding Initiative,article,Music and Audio Processing,Signal Processing,Computer Science,Physical Sciences,https://doi.org/10.4000/jtei.1535,2,9
W2468796432,Sonification to investigate gait transition,2016,Radiotherapy and Oncology,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1016/s0167-8140(16)30234-1,3,0
W2476814756,Sonifying ECoG seizure data with overtone mapping: a strategy for creating auditory gestalt from correlated multichannel data,2012,,article,Neuroscience and Music Perception,Cognitive Neuroscience,Neuroscience,Life Sciences,,4,8
W2950068676,Smooth or Stepped? Laboratory Comparison of Enhanced Sonifications for Monitoring Patient Oxygen Saturation,2019,Human Factors The Journal of the Human Factors and Ergonomics Society,article,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,https://doi.org/10.1177/0018720819845742,7,37
W4400941613,A Wearable Personalised Sonification and Biofeedback Device to Enhance Movement Awareness,2024,Sensors,article,"Balance, Gait, and Falls Prevention","Physical Therapy, Sports Therapy and Rehabilitation",Health Professions,Health Sciences,https://doi.org/10.3390/s24154814,5,31
W4386283064,Perceptually congruent sonification of auditory line charts,2023,Journal on Multimodal User Interfaces,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1007/s12193-023-00413-w,2,46
W2039772475,How far is that wall? Judging distance with audification,2009,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,article,Hearing Loss and Rehabilitation,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1177/154193120905301710,2,13
W2621497183,Assessing the use of auditory graphs for middle school mathematics,2014,SMARTech Repository (Georgia Institute of Technology),dissertation,Education and Technology Integration,Education,Social Sciences,Social Sciences,,2,0
W2796406545,Sonification in an Artistic Context,2018,Gaming media and social effects,book-chapter,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1007/978-981-10-1891-6_10,2,17
W2396953862,{3D}inMotion A Mocap Based Interface for Real Time Visualisation and Sonification of Multi-User Interactions,2014,New Interfaces for Musical Expression,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.5072/zenodo.207561,4,8
W3213597375,"Colorophone 2.0: A Wearable Color Sonification Device Generating Live Stereo-Soundscapes—Design, Implementation, and Usability Audit",2021,Sensors,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.3390/s21217351,10,77
W3092460645,Sonification Of Facial Actions For Musical Expression,2005,arXiv (Cornell University),preprint,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.48550/arxiv.2010.03223,3,17
W2137526265,Sonific ation Report: Status of the Field and Research Agenda,2010,Lincoln (University of Nebraska),article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,318,61
W4391276856,The sound of silence: Quantification of typical absence seizures by sonifying <scp>EEG</scp> signals from a custom‐built wearable device,2024,Epileptic Disorders,article,EEG and Brain-Computer Interfaces,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1002/epd2.20194,3,53
W2529743897,"Multisource Sonification for Visual Substitution in an Auditory Memory Game: One, or Two Fingers?",2011,ArODES (HES-SO (https://www.hes-so.ch/)),article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,4,0
W2027730894,The Pulse of the Earth and sonification,2011,AI & Society,article,Digital Games and Media,Sociology and Political Science,Social Sciences,Social Sciences,https://doi.org/10.1007/s00146-011-0358-y,2,4
W2800903401,Interactive Sonification Exploring Emergent Behavior Applying Models for Biological Information and Listening,2018,Frontiers in Neuroscience,article,Plant and Biological Electrophysiology Studies,Plant Science,Agricultural and Biological Sciences,Life Sciences,https://doi.org/10.3389/fnins.2018.00197,6,82
W2005880295,Sonification and Acoustic Environments,2012,Leonardo Music Journal,article,Noise Effects and Management,Speech and Hearing,Health Professions,Health Sciences,https://doi.org/10.1162/lmj_a_00101,2,22
W35576504,Sonification of Facial Expressions,2015,,article,Hermeneutics and Narrative Identity,Philosophy,Arts and Humanities,Social Sciences,,2,6
W4226165666,Sonification of Emotion in Social Media: Affect and Accessibility in Facebook Reactions,2022,Proceedings of the ACM on Human-Computer Interaction,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1145/3512966,5,52
W2055297610,"Issues Relating to Automatic Speech Recognition and Spatial Auditory Displays in High Noise, Stressful Tank Environments",2000,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,article,Human-Automation Interaction and Safety,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1177/154193120004402267,4,4
W4249127707,Sonification Supports Eyes-Free Respiratory Monitoring and Task Time-Sharing,2004,Human Factors The Journal of the Human Factors and Ergonomics Society,article,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,https://doi.org/10.1518/hfes.46.3.497.1636,4,0
W2785470176,A novel speech-based auditory display for monitoring vital signs,2016,,article,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,,2,0
W81775368,Operating Theatre Patient Monitoring: The Effects of Self Paced Distracter Tasks and Experimental Control on Sonification Evaluations,2003,,article,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,,6,5
W2022250057,Multidimensional encoding within the temporal microstructure of auditory displays. II,1973,The Journal of the Acoustical Society of America,article,Visual perception and processing mechanisms,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1121/1.1913569,2,7
W2412090784,Theoretical analysis of auditory display based on the virtual sphere model,1998,Medical Entomology and Zoology,article,Advanced Optical Imaging Technologies,Media Technology,Engineering,Physical Sciences,,2,0
W2405128847,On Applying Sonification Methods to Convey Business Process Data.,2012,CAiSE Forum,article,Data Visualization and Analytics,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,,4,12
W3211380182,Sonification and Music: Science meets Art,2021,English Studies in Africa,article,Multisensory perception and integration,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.1080/00138398.2021.1969120,2,18
W260047999,Multimodal Geographic Information Systems: Adding Haptic and Auditory Displays.,2001,Proceedings of the American Society for Information Science and Technology,article,Speech and dialogue systems,Artificial Intelligence,Computer Science,Physical Sciences,,2,0
W2074156432,Sonification Design for Real-Time Processes: Issues and a Demonstration,2002,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,article,Hearing Loss and Rehabilitation,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1177/154193120204601710,4,13
W2610873633,Listen to Yourself and Others - Multiuser Mobile Biosignal Sonification Platform EMOListen,2010,,article,Quality and Safety in Healthcare,Medical Laboratory Technology,Health Professions,Health Sciences,,5,0
W4390100111,Introduction to the special issue on 3D sound reconstruction for virtual auditory displays: Applications in buildings,2023,The Journal of the Acoustical Society of America,editorial,Hearing Loss and Rehabilitation,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1121/10.0024159,3,6
W4229004999,Listening to the silent struggles of bipolar disorder through sonification of iMoodJournal data,2022,Bipolar Disorders,article,Neuroscience and Music Perception,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1111/bdi.13210,4,5
W2346164293,Sonification and music as support to the communication of alcohol-related health risks to young people,2016,Journal on Multimodal User Interfaces,article,Multisensory perception and integration,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.1007/s12193-016-0220-0,6,67
W1558791593,Report on Research Projects on Head-Related Transfer Functions and Virtual Auditory Displays in China,2013,Journal of the Audio Engineering Society,article,Ergonomics and Musculoskeletal Disorders,Social Psychology,Psychology,Social Sciences,,3,0
W4386580226,PepperOSC: enabling interactive sonification of a robot’s expressive movement,2023,Journal on Multimodal User Interfaces,article,Social Robot Interaction and HRI,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1007/s12193-023-00414-9,4,18
W4256579231,INTERACTIVE SONIFICATION STRATEGIES FOR THE MOTION AND EMOTION OF DANCE PERFORMANCES,2019,,dissertation,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.37099/mtu.dc.etdr/896,2,192
W4285792890,A Strata-Based Approach to Discussing Artistic Data Sonification,2022,Leonardo,article,Data Visualization and Analytics,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1162/leon_a_02257,4,15
W1546992045,Model-Based Target Sonification in Small Screen Devices,2008,IGI Global eBooks,book-chapter,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.4018/978-1-59904-871-0.ch029,2,0
W3011155392,Sonification in cycling – a feasibility study,2014,,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,2,0
W4406128306,The sound of science: a sonification learning experience in an Italian secondary school,2025,Frontiers in Education,article,Educational Philosophies and Pedagogies,Education,Social Sciences,Social Sciences,https://doi.org/10.3389/feduc.2024.1502396,3,110
W3184458317,Spatial sonification of letters on tablets to stimulate literacy skills and handwriting in 5 y-o children: A pilot study,2021,Human Movement Science,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1016/j.humov.2021.102844,9,48
W4391294942,Body-mind Sonification to Improve Players Actions in Sports,2016,NTT technical review,article,Action Observation and Synchronization,Social Psychology,Psychology,Social Sciences,https://doi.org/10.53829/ntr201601ra1,2,5
W2592647215,Heart Alert: ECG Sonification for supporting the detection and diagnosis of ST segment deviations,2016,,article,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,,5,11
W2001443051,"Muscle Action Potential and Hand Switch Disjunctive Reaction Times to Visual, Auditory, and Combined Visual-Auditory Displays",1967,IEEE Transactions on Human Factors in Electronics,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1109/thfe.1967.234302,4,4
W4230049293,Three-dimensional auditory display apparatus and method utilizing enhanced bionic emulation of human binaural sound localization,1992,The Journal of the Acoustical Society of America,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1121/1.403729,4,0
W4319660011,Adding visual contextual information to continuous sonification feedback about low-reliability situations in conditionally automated driving: A driving simulator study,2023,Transportation Research Part F Traffic Psychology and Behaviour,article,Human-Automation Interaction and Safety,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1016/j.trf.2023.01.017,12,33
W2907761082,"Sonification Mappings: Estimating Effectiveness, Polarities and Scaling in an Online Experiment",2018,Journal of the Audio Engineering Society,article,Design Education and Practice,Mechanical Engineering,Engineering,Physical Sciences,https://doi.org/10.17743/jaes.2018.00057,4,0
W3212229313,"Ultrasonic helical coil electrochemical reactor for simultaneous electrolysis–sonification–electrochemical polymerization, and applications for pollen cleaning",2021,Designed Monomers & Polymers,article,Advanced Chemical Sensor Technologies,Biomedical Engineering,Engineering,Physical Sciences,https://doi.org/10.1080/15685551.2021.2003557,7,17
W2406192348,A Symbolic Sonification of L-Systems,2009,CUNY Academic Works (City University of New York),article,Plant and Biological Electrophysiology Studies,Plant Science,Agricultural and Biological Sciences,Life Sciences,,2,5
W999888355,Creating a Coral Symphony: Sound Art and Sonification,2016,eTropic electronic journal of studies in the tropics,article,Multisensory perception and integration,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.25120/etropic.12.2.2013.3342,3,15
W2139853867,Feature-Based Synthesis for Sonification and Psychoacoustic Research,2006,,article,Music and Audio Processing,Signal Processing,Computer Science,Physical Sciences,,2,20
W2027634492,Sound/tracks: artistic real-time sonification of train journeys,2012,Journal on Multimodal User Interfaces,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1007/s12193-011-0089-x,3,15
W4367623970,Parameter Mapping Sonification of Human Olfactory Thresholds,2023,Biology,article,Olfactory and Sensory Function Studies,Sensory Systems,Neuroscience,Life Sciences,https://doi.org/10.3390/biology12050670,3,47
W17778624,Sonification: listen to brain activity,2009,,book-chapter,EEG and Brain-Computer Interfaces,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1007/978-3-211-75121-3_2,2,11
W1508068332,Caution and Warning Alarm Design and Evaluation for NASA CEV Auditory Displays,2008,Journal of the Audio Engineering Society,article,Noise Effects and Management,Speech and Hearing,Health Professions,Health Sciences,,2,0
W2896920121,Layered Motion and Gesture Sonification in an Interactive Installation,2018,Journal of the Audio Engineering Society,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.17743/jaes.2018.0047,3,29
W3178751304,Isomorphic spatial visual-auditory displays for operations in DVE for obstacle avoidance,2018,,article,Human-Automation Interaction and Safety,Social Psychology,Psychology,Social Sciences,,2,0
W4396609104,A Natural Sonification Mapping for Handwriting,2024,Journal of the Audio Engineering Society,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.17743/jaes.2022.0148,2,28
W4313175365,SONOUNO WEB INTERFACE FOR SONIFICATION AND ANALYSIS OF ASTROPHYSICAL DATA,2022,Revista Mexicana de Astronomía y Astrofísica Serie de Conferencias,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.22201/ia.14052059p.2022.54.28,2,2
